"NAME","TYPE","PRICE","REVIEW_COUNT","STAR","TELL","ADDRESS","ZIPCODE","MEDIAN_SAL","MEDIAN_SAL.1","POP","CITY","latitude","longitude"
"Main Street Grille & Coffee Shoppe","Restaurants",1,14,2.5,"(508) 824-9207","73 Main St  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.901291,-71.090647
"Hayashi Restaurant","Sushi Bars",2,75,4.5,"(508) 238-9160","447 Turnpike StEaston, MA 02375",2375,78410,78410,9034,"Taunton",42.012553,-71.0673137
"Cape Cod Cafe Pizza","Pizza",1,28,3.5,"(508) 802-6598","995 BroadwayRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9543921,-71.0696781
"Raynham Mandarin Restaurant","Chinese",1,17,2.5,"(508) 977-0406","275 New State HwyRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9048137,-71.0548581
"JÎês Flying Pizza","Food",1,20,4,"(508) 697-8631","815 South StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9685163,-70.9825984
"LorenzoÎês Italian Restaurant","Italian",2,52,3,"(508) 947-3000","500 W Grove StMiddleboro, MA 02346",2346,72466,72466,19926,"Taunton",41.8988472,-70.9533081
"SugarCane","Korean",2,53,4,"(508) 697-2266","180 Winter StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9679269,-70.9748377
"MikeÎês Famous Pizza","Pizza",1,6,4,"(508) 286-9062","105   Taunton AveNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9541815,-71.1842002
"GillianÎês Cafe","American",2,9,3.5,"(508) 884-9977","1094 Bay St  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.9360157,-71.1111983
"Lucky Corner","Chinese",2,12,3.5,"(508) 821-9623","995 BroadwayRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9543921,-71.0696781
"College Pizza","Pizza",1,8,4,"(508) 697-6917","750 Bedford StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9682009,-70.9725604
"Fuji Chen","Fast Food",2,18,3.5,"","Galleria Mall Dr  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.864821,-71.04906
"KellyÎês Place","American",2,40,3,"(508) 622-1466","292 E. Main St.Norton, MA 02766",2766,77953,77953,17869,"Taunton",41.9909999,-71.1554412
"BarrettÎês Ale House","Sports Bars",2,40,4,"(508) 697-4800","425 Bedford StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9765129,-70.975431
"Boston Tavern","American",2,59,3.5,"(508) 583-0013","389 West Center StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0170661,-71.0330393
"FishermanÎês III","Seafood",2,13,4.5,"(508) 222-8090","411 Old Colony RdNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9533189,-71.241565
"Jade City Chinese Restaurant","Chinese",1,3,4.5,"(508) 285-8300","63 E Main StNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9699492,-71.1801006
"Porticello Restaurant","Italian",2,36,3,"(508) 230-0220","454 Turnpike StSouth Easton, MA 02375",2375,78410,78410,9034,"Taunton",42.0116854,-71.0663568
"BuddyÎês Pizza Pub","Pizza",2,24,4,"(508) 923-9196","547 W Grove StMiddleborough, MA 02346",2346,72466,72466,19926,"Taunton",41.9018788,-70.9558214
"Sunday Buffet","Restaurants",1,21,2,"(508) 884-9744","2 Galleria Mall Dr  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.8643543,-71.0519346
"ChiliÎês Grill & Bar","Bars",2,67,3.5,"(508) 824-6536","500 South St WRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.8983783,-71.0354349
"The Assonet Inn","American",2,59,3.5,"(508) 644-2777","16 Water StAssonet, MA 02702",2702,91095,91095,3869,"Taunton",41.7942737,-71.0702657
"The Charlie Horse","American",2,83,2.5,"(508) 583-7252","674 W Center StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0116013,-71.048871
"Bliss Dairy Restaurant","Ice Cream & Frozen Yogurt",1,63,4,"(508) 222-2884","711 Park StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9372413,-71.2660445
"PersyÎês Place","American",2,59,3,"(508) 946-0022","43 Bedford StMiddleboro, MA 02346",2346,72466,72466,19926,"Taunton",41.9043751,-70.959379
"China Garden","Chinese",2,13,2.5,"(508) 823-3070","883 BroadwayRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9519132,-71.0706293
"The Star Drive In","Diners",1,2,5,"(508) 692-9614","137 Myricks StBerkley, MA 02779",2779,81125,81125,5748,"Taunton",41.8391556,-71.01275
"Country Side Package & Pizza","Pizza",1,6,3.5,"(508) 823-0568","130 Myricks StBerkley, MA 02779",2779,81125,81125,5748,"Taunton",41.839394,-71.0140179
"Bridgets An Irish Tradition","Irish",2,2,5,"(508) 285-9700","88 W Main StNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9623546,-71.1960436
"Campus Pizza","Pizza",2,10,3.5,"(508) 697-3336","955 Pleasant StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9721886,-71.007102
"Papagallo Restaurant","Latin American",1,94,4,"(774) 203-3532","87 Pleasant StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.946884,-71.2790022
"C & N Pizza","Pizza",2,6,3.5,"(508) 669-9999","1965 County StDighton, MA 02715",2715,83613,83613,2591,"Taunton",41.8175911,-71.1206357
"Mangia Neapolitan Pizzeria","Pizza",2,26,3.5,"(508) 285-4400","288 E Main StNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9902884,-71.1554371
"Somerset Grille","Breakfast & Brunch",2,16,4,"(508) 689-7817","3015 County StSomerset, MA 02726",2726,68267,68267,15530,"Taunton",41.7743398,-71.1366233
"AlbertoÎês Pub and Pizza","Italian",1,61,3,"(508) 285-5611","241 Mansfield AveNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9912096,-71.2100749
"GeorgioÎês Steak House","Restaurants",2,59,3.5,"(508) 669-5323","1881 County StDighton, MA 02715",2715,83613,83613,2591,"Taunton",41.819929,-71.1201941
"Brothers Pizza","Pizza",1,8,2.5,"(508) 824-1441","770 BroadwayRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9498642,-71.0734277
"Central Cafe","Pizza",2,5,3,"(774) 419-5431","254 Centre StMiddleboro, MA 02346",2346,72466,72466,19926,"Taunton",41.8933772,-70.9135447
"KricketÎês Korner","Restaurants",1,26,3.5,"(508) 285-6187","248 E Main StNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9846864,-71.1578836
"Independence Harbor","Restaurants",1,2,4.5,"(508) 644-2225","10 Narrows RdAssonet, MA 02702",2702,91095,91095,3869,"Taunton",41.7842322,-71.0873389
"Sbarro","Pizza",2,103,4,"(508) 824-3745","2 Galleria Mall Dr  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.8643543,-71.0519346
"Rite Foods","Seafood",2,15,4,"(617) 426-1144","110 Prince Henry Dr  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.9344027,-71.132604
"TsangÎês Chinese Restaurant","Chinese",2,9,4.5,"(508) 285-2950","113 Mansfield AveNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9773474,-71.2010581
"Pizza Tyme","Pizza",2,59,3.5,"(508) 285-7100","250 E Main StNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.98678,-71.158001
"Cajun Cafe Bar & Grille","Restaurants",2,9,4.5,"(508) 828-1003","2 Galleria Mall Dr  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.8643543,-71.0519346
"ChessmenÎês Pizza","Pizza",1,33,3.5,"(508) 697-4114","16 Central SqBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9895395,-70.974933
"Cape Cod Cafe","Pizza",1,15,3,"(508) 697-3077","220 Winter StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.968307,-70.9740983
"ZenoÎês II","Chinese",1,4,4,"(508) 226-8900","319 Tremont StRehoboth, MA 02769",2769,90530,90530,10179,"Taunton",41.9028507,-71.2487779
"Johnny MacaroniÎês","Italian",2,66,4,"(508) 378-9335","582 W StEast Bridgewater, MA 02333",2333,82133,82133,13012,"Taunton",42.0061265,-70.9543577
"Stoneforge Tavern","Restaurants",1,2,2.5,"(508) 977-9840","90 Paramount DrRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9035222,-71.035181
"Double Twelve Cafe","Restaurants",2,56,3,"(508) 824-1212","34 Old Colony AveEast   Taunton, MA 02718",2718,81142,81142,6406,"Taunton",41.883434,-71.029546
"The Colonel Blackinton Inn","American",2,59,3.5,"(508) 222-6022","203 N Main StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9504099,-71.2898529
"Lindos Pizza","Pizza",3,75,4.5,"(508) 238-4332","447 Tpke StSouth Easton, MA 02375",2375,78410,78410,9034,"Taunton",42.1095196,-71.0582842
"Tavern 33","Bars",1,13,4,"(508) 223-3722","336 Old Colony RdNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9497942,-71.2303093
"Chinese Gourmet Express","Chinese",2,12,2.5,"(508) 824-7986","2 Galleria Mall Dr  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.8643543,-71.0519346
"Dairy Queen","Fast Food",2,20,4,"(508) 824-8053","2 Galleria Mall Dr  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.8643543,-71.0519346
"AgoroÎês Pizza Bar & Grill","Pizza",2,0,4,"(508) 730-2356","2756 County StSomerset, MA 02726",2726,68267,68267,15530,"Taunton",41.7697026,-71.1378824
"Lillys","American",2,40,3.5,"(508) 923-5732","183 Rhode Island RdLakeville, MA 02347",2347,94495,94495,9810,"Taunton",41.8648231,-70.9657543
"BloomÎês Pizza","Pizza",2,59,3.5,"(508) 580-6688","499 W Center StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0152253,-71.0401632
"Village Pizza","Pizza",2,7,4.5,"(508) 222-9777","360 Old Colony RdNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9506591,-71.2343439
"Sunshine Cafe","Restaurants",1,13,4,"(508) 946-9160","12 Harding St Ste 101Lakeville, MA 02347",2347,94495,94495,9810,"Taunton",41.9024702,-70.9848356
"SangriaÎês","Tapas Bars",2,10,2.5,"(508) 431-9989","59 Park StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9442647,-71.2818373
"The Clam Shack","Seafood",2,122,3.5,"(508) 222-2600","1282 Park StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.919512,-71.2577303
"Roman Delight Pizza","Pizza",2,12,3,"(508) 880-5566","2 Galleria Mall Dr  Taunton, MA 02780",2780,53796,53796,49469,"Taunton",41.8643543,-71.0519346
"The Downtown","Pizza",2,8,4,"(508) 455-2336","292 W Main StNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9521831,-71.2224883
"Niko Bar & Grill","Greek",2,37,4,"(774) 517-5943","275 N Main StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0303304,-71.0085585
"MorinÎês Hometown Bar and Grille","American",2,75,3.5,"(508) 222-9875","16 S Main StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9440759,-71.2838107
"IHOP","Breakfast & Brunch",2,59,3.5,"(508) 828-4299","235 Rt 44Raynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9049572,-71.0563658
"Good Days Restaurant","Breakfast & Brunch",2,16,3,"(508) 584-0077","99 S Main StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0167057,-71.0031837
"BaldieÎês Pizzeria","Pizza",1,60,3.5,"(508) 697-6513","755 Bedford StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.967335,-70.9741157
"The Cabin","Pizza",1,2,3,"(508) 947-8590","114 E Grove StMiddleboro, MA 02346",2346,72466,72466,19926,"Taunton",41.8763678,-70.8914939
"The Better Bean Coffee Company","Coffee & Tea",2,54,4,"(508) 279-9952","23 Central SquareBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9898689,-70.9760342
"Lazy Pug Seafood & Grille","American",1,38,4,"(508) 824-3967","90 Bay View AveBerkley, MA 02779",2779,81125,81125,5748,"Taunton",41.8120649,-71.097041
"Canova Italian Bar & Grill","Italian",2,84,3.5,"(508) 455-0464","88 Union StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9416728,-71.2828888
"Great Woods Mandarin","Chinese",2,19,4,"(508) 285-8828","175 Mansfield AveNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9820618,-71.2094834
"Andrews Farm Bakery & Cyber Cafe","Bakeries",1,25,3.5,"(508) 238-6677","123 Belmont StSouth Easton, MA 02375",2375,78410,78410,9034,"Taunton",42.0540616,-71.0740996
"Tex BarryÎês Coney Island Diner","Diners",1,55,4.5,"(508) 222-9787","31 County StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9435672,-71.2854585
"FlynnÎês Irish Pub","Irish",2,77,4.5,"(508) 337-2100","219-223 N Main StMansfield, MA 02048",2048,93593,93593,22393,"Taunton",42.0296377,-71.2179409
"Sing Yee Restaurant","Chinese",1,14,4,"(508) 238-9881","379 Turnpike StSouth Easton, MA 02375",2375,78410,78410,9034,"Taunton",42.0175105,-71.0669125
"Stoneforge Grill","American",2,110,3.5,"(508) 238-0550","10 Roosevelt CirSouth Easton, MA 02375",2375,78410,78410,9034,"Taunton",42.0511108,-71.0850387
"New York Pizza","Pizza",1,20,3.5,"(508) 436-2425","271 E Center StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.019858,-70.9944416
"Asack Turkey Farm & Dairy Bar Restaurant","Sandwiches",1,20,2.5,"(508) 580-7711","235 N Main StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0289264,-71.0083873
"Mansfield Variety & Deli","Delis",1,57,1,"(508) 339-2994","72 Pratt StMansfield, MA 02048",2048,93593,93593,22393,"Taunton",42.0335276,-71.2148067
"The Breakfast Place","Breakfast & Brunch",2,59,3.5,"(508) 226-5680","187 Pleasant StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9503169,-71.2738258
"Ron EmmaÎês Brass & Glass Pub","Restaurants",1,130,4,"(508) 697-9332","985 Pleasant StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9719749,-71.007779
"ScorpioÎês Italian Eatery & Pizzeria","Italian",2,4,1,"(508) 222-6300","55 Park StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9443101,-71.2819586
"Raynham Mandarin","Chinese",2,91,3.5,"(508) 977-0406","283 Route 44Raynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9056572,-71.0533003
"Tutto Bene","Italian",3,41,4,"(508) 583-1515","1050 Pearl StBrockton, MA 02301",2301,48470,48470,61459,"Taunton",42.0523684,-71.0663191
"Trattoria Della Nonna","Italian",2,60,4,"(508) 339-5432","160 N Main StMansfield, MA 02048",2048,93593,93593,22393,"Taunton",42.028108,-71.218119
"Tatami Restaurant & Sushi Bar","Sushi Bars",2,57,4.5,"(508) 378-3181","118 N Bedford St Rte 18East Bridgewater, MA 02333",2333,82133,82133,13012,"Taunton",42.0363379,-70.9580066
"Savas Pizza","Pizza",2,15,2.5,"(508) 673-3340","2979 County StSomerset, MA 02726",2726,68267,68267,15530,"Taunton",41.7741767,-71.1367098
"North End Pizzaria","Pizza",1,2,4,"(508) 947-0099","337 W Grove StMiddleboro, MA 02346",2346,72466,72466,19926,"Taunton",41.894564,-70.9429407
"Cibo Matto Caffe","Italian",2,175,4.5,"(508) 339-9800","254 Chauncy StMansfield, MA 02048",2048,93593,93593,22393,"Taunton",42.0303979,-71.2306505
"Ultimate Pizza","Pizza",1,11,4,"(508) 230-9441","277 Turnpike StSouth Easton, MA 02375",2375,78410,78410,9034,"Taunton",42.0244699,-71.0666276
"BrunoÎês Pizzeria","Italian",2,30,4,"(508) 697-1104","59 Broad StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9915513,-70.9745936
"The Pizza Depot","Pizza",1,22,4,"(508) 230-2888","700 Depot StNorth Easton, MA 02356",2356,99682,99682,12966,"Taunton",42.0241456,-71.1188764
"GusÎês Pizza","Pizza",1,11,3.5,"(508) 679-6800","582 South StSomerset, MA 02726",2726,68267,68267,15530,"Taunton",41.7683067,-71.138108
"VinoÎês Family Caf’©","American",2,6,4.5,"(508) 336-4361","503 Winthrop StRehoboth, MA 02769",2769,90530,90530,10179,"Taunton",41.8361577,-71.2803741
"HarryÎês Diner Inc","Pizza",2,59,3.5,"(508) 644-3339","63B S Main StAssonet, MA 02702",2702,91095,91095,3869,"Taunton",41.7873352,-71.0749867
"Cafe On the Common","Breakfast & Brunch",2,12,2.5,"(508) 339-9130","12 S Main StMansfield, MA 02048",2048,93593,93593,22393,"Taunton",42.0241475,-71.2158353
"Raynham House of Pizza","Pizza",1,77,4,"(508) 823-1444","38 BroadwayRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.931617,-71.085259
"ChristopherÎês Seafood & Steak House","Restaurants",2,4,2.5,"(508) 824-9016","1285 BroadwayRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9629174,-71.0674521
"VinoÎês Family Cafe","American",1,13,4.5,"(508) 336-4361","503 Winthrop StRehoboth, MA 02769",2769,90530,90530,10179,"Taunton",41.8361577,-71.2803741
"Little SamiÎês","Burgers",1,29,3.5,"(508) 436-4766","1145 W Chestnut StBrockton, MA 02301",2301,48470,48470,61459,"Taunton",42.0540103,-71.0631959
"Pizzeria Canova","Pizza",2,30,3.5,"(508) 455-1546","68 Union StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.942113,-71.2826372
"Blue Moon","Thai",2,31,3,"(508) 222-1000","183 Pleasant StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9506214,-71.2742373
"Cosi","Sandwiches",2,63,3.5,"(508) 261-8740","280 School StMansfield, MA 02048",2048,93593,93593,22393,"Taunton",42.0128724,-71.2263291
"El Azteca Mexican Restaurant","Mexican",1,86,4,"(508) 226-6258","71 Pleasant StAttleboro, MA 02703",2703,67398,67398,41916,"Taunton",41.9468728,-71.2797983
"Sportsway Cafe","Pizza",1,4,3.5,"(508) 285-2905","57 W Main StNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9641936,-71.1920696
"JeffreyÎês Pizza","Pizza",2,7,3.5,"(508) 285-5518","63 E Main StNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9699492,-71.1801006
"FredaÎês","Italian",1,19,2.5,"(508) 583-8217","105 Copeland StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0391462,-71.0160332
"KP Grill","American",2,34,3.5,"(508) 336-7773","481 Winthrop StRehoboth, MA 02769",2769,90530,90530,10179,"Taunton",41.8375685,-71.2773132
"Taco Bell","Mexican",1,5,3.5,"(508) 823-5214","600 South StreetRaynham, MA 02767",2767,76338,76338,11839,"Taunton",41.9057784,-71.0472195
"PattyÎês Place","Breakfast & Brunch",1,20,3.5,"(508) 226-2766","363 Old Colony RdNorton, MA 02766",2766,77953,77953,17869,"Taunton",41.9516411,-71.2349
"Gallery Grille and Pizza","American",1,21,3,"(508) 747-6070","179 Ct StPlymouth, MA 02360",2360,74603,74603,51563,"Taunton",41.9274429,-70.748277
"Star Pizza","Pizza",1,17,4,"(508) 588-5706","43 N Main StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0204897,-71.0081225
"Tasty RayÎês","Caterers",2,31,4,"(508) 339-0938","20 S Main StMansfield, MA 02048",2048,93593,93593,22393,"Taunton",42.0239763,-71.2158982
"BriannaÎês Breakfast","Breakfast & Brunch",1,28,4,"(508) 279-6502","100 Spring StBridgewater, MA 02324",2324,80879,80879,22922,"Taunton",41.9927795,-70.9706568
"Yangtze","Chinese",2,18,3.5,"(508) 583-9020","266 S Main StWest Bridgewater, MA 02379",2379,73651,73651,6610,"Taunton",42.0105354,-70.9976592
"Dighton Country Diner","Restaurants",1,3,2.5,"(508) 669-5507","238 Main StDighton, MA 02715",2715,83613,83613,2591,"Taunton",41.815188,-71.121272
"Ciscos Pizza","Pizza",1,6,1.5,"(508) 946-9090","166 County St Ste 4Lakeville, MA 02347",2347,94495,94495,9810,"Taunton",41.8072075,-70.9690186
"Chef WayneÎês Big Mamou","Cajun/Creole",2,225,3.5,"(413) 732-1011","63 Liberty StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1062255,-72.5954778
"Eat","Breakfast & Brunch",1,58,4.5,"(413) 276-0040","609 Page BlvdSpringfield, MA 01104",1104,35380,35380,22078,"Springfiled",42.140516,-72.5584662
"Saray II","Turkish",2,37,4.5,"(413) 796-5505","1374 Allen StSpringfield, MA 01118",1118,55853,55853,14283,"Springfiled",42.0946248,-72.5140633
"TheodoreÎês Booze Blues & BBQ","Barbeque",2,215,4.5,"(413) 736-6000","201 Worthington StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1041632,-72.5920086
"Plan B Springfield","Burgers",2,252,4.5,"(413) 285-8296","1000 W Columbus AveSpringfield, MA 01105",1105,17756,17756,12816,"Springfiled",42.0961331,-72.5877268
"Student Prince Cafe and Fort Restaurant","German",2,140,4,"(413) 734-7475","8 Fort StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1037576,-72.5934882
"Hot Table","Sandwiches",1,37,4,"(413) 782-8800","455 Breckwood BlvdSpringfield, MA 01109",1109,34638,34638,30683,"Springfiled",42.1167244,-72.523605
"Cornerstone Cafe","Cafes",1,20,4.5,"(413) 746-1025","1414 Main StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1026014,-72.5905165
"Blackjack Steakhouse","American",2,33,4.5,"(413) 737-2784","912 Main StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.0982623,-72.5833598
"Soc Trang Vietnamese Restaurant","Vietnamese",1,30,4,"(413) 736-9999","113 Vermont StSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0884129,-72.5512663
"Red Rose Pizzeria","Pizza",2,159,3.5,"(413) 739-8510","1060 Main StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.0995488,-72.5853823
"Frigo Gourmet Foods","Caterers",1,59,4,"(413) 732-5428","90 William StSpringfield, MA 01105",1105,17756,17756,12816,"Springfiled",42.0971348,-72.5851346
"FelixÎês Family Ristorante","Italian",2,21,5,"(413) 739-7300","214 Dickinson StSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0895249,-72.5633639
"MoctezumaÎês Tradition and Flavor","Mexican",1,26,4,"(413) 351-2239","684 Belmont AveSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0851186,-72.5533013
"El Salvador Restaurant","Latin American",1,7,4.5,"(413) 781-5707","231 Hancock StSpringfield, MA 01109",1109,34638,34638,30683,"Springfiled",42.1031057,-72.567559
"Bueno y Sano","Mexican",1,98,5,"(413) 301-0976","880 Sumner AveSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0889112,-72.5450818
"MaxÎês Tavern","Pubs",3,127,4,"(413) 746-6299","1000 Hall Of Fame AveSpringfield, MA 01105",1105,17756,17756,12816,"Springfiled",42.0935705,-72.5852565
"Panjabi Tadka","Indian",2,54,3.5,"(413) 732-1453","1688 Main StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1044639,-72.5946886
"Typical Sicilian","Italian",2,66,4,"(413) 739-7100","497 Belmont AveSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0867029,-72.5595826
"350 Grill","American",3,61,4,"(413) 439-0666","350 Worthington StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1058828,-72.5911119
"AdolfoÎês Ristorante","Italian",2,41,3.5,"(413) 746-5000","254 Worthington StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1049904,-72.5916324
"FelixÎês Breakfast and Sandwich Shop","Delis",1,35,4,"(413) 306-6010","67 Liberty StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1076479,-72.5942396
"Wild Olive Pizzeria","Sandwiches",1,32,4,"(413) 788-8791","699 Sumner AveSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0872457,-72.5510424
"B’çnh M’Œ Mia","Vietnamese",1,26,4,"(413) 888-2223","390 Dickinson StSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0867234,-72.5584242
"SalsaÎês Gourmet Mexican Restaurant","Mexican",1,30,4.5,"(413) 746-4456","403 Dickinson StSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0865695,-72.5580858
"JakeÎês Wayback Burgers","Burgers",1,36,4,"(413) 342-4002","1375 Carew StSpringfield, MA 01104",1104,35380,35380,22078,"Springfiled",42.1367944,-72.568891
"LeoneÎês Restaurant","Pizza",2,39,4,"(413) 783-4363","320 Cooley StSpringfield, MA 01128",1128,63177,63177,3040,"Springfiled",42.0950263,-72.4991528
"NadimÎês Downtown Mediterranean Grill","Mediterranean",2,53,4,"(413) 737-7373","1390 Main StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1022732,-72.5900009
"Pho Saigon Restaurant","Vietnamese",2,121,3.5,"(413) 781-4488","400 Dickinson StSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0865295,-72.558341
"Puerto Rican Bakery & Restaurant","Spanish",2,30,3.5,"(413) 732-0259","214 Armory SqSpringfield, MA 01104",1104,35380,35380,22078,"Springfiled",42.1160772,-72.5826091
"RufusÎês Full of Flavor Diner","Diners",1,11,4,"(413) 732-4222","810 Cottage StSpringfield, MA 01104",1104,35380,35380,22078,"Springfiled",42.1418886,-72.5245836
"Luxe Burger Bar","Burgers",1,109,4.5,"(413) 785-5893","1200 W Columbus AveSpringfield, MA 01105",1105,17756,17756,12816,"Springfiled",42.0965326,-72.5878324
"Nathan BillÎês Bar & Restaurant","American",2,22,3,"(413) 737-6135","110 Island Pond RdSpringfield, MA 01118",1118,55853,55853,14283,"Springfiled",42.0958064,-72.5508082
"City JakeÎês Cafe","Breakfast & Brunch",2,5,4,"(413) 731-5077","1573 Main StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1037197,-72.5928574
"LatinoÎês Kitchen","Latin American",2,7,4,"(413) 737-2142","2757 Main StSpringfield, MA 01107",1107,23557,23557,11615,"Springfiled",42.1160284,-72.6065072
"Peppas Xpress","Pizza",1,14,4,"(413) 796-7859","1060 Wilbraham RdSpringfield, MA 01109",1109,34638,34638,30683,"Springfiled",42.1173885,-72.5251912
"Brickhouse Tavern","American",1,13,4,"(413) 363-2728","537 Main StSpringfield, MA 01151",1151,34175,34175,8302,"Springfiled",42.1554221,-72.4864269
"Palazzo Cafe","Italian",2,7,4.5,"(413) 731-0011","1350 Main StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.1018338,-72.5895082
"TonyÎês Pizza","Pizza",2,14,4.5,"(413) 732-6600","108 Boston RdSpringfield, MA 01109",1109,34638,34638,30683,"Springfiled",42.1250053,-72.5363819
"Bamboo House","Vietnamese",2,46,3.5,"(413) 732-0741","676 Belmont AveSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0853345,-72.5534573
"Blake House Caf’©","Cafes",2,4,4,"(413) 779-2199","21 Edwards StSpringfield, MA 01103",1103,16963,16963,2731,"Springfiled",42.103713,-72.5863412
"Vinh Chau","Vietnamese",2,74,4,"(413) 731-8858","409 Dickinson StSpringfield, MA 01108",1108,37411,37411,26060,"Springfiled",42.0865294,-72.5578144
